date,session_date,setup_detected,direction,poi_type,sweep_level,pattern_candle_a,pattern_candle_b,entry_price,stop_loss,take_profit,sl_distance,tp_distance,trader_agrees,actual_result,hypothetical_pnl,notes
2026-05-04T15:29:58.682953,2025-08-18,True,SHORT,BEARISH,44985.4,,,44913.5,44987.4,44765.7,73.9,147.8,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:58.719782,2025-08-19,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.760802,2025-08-20,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.798834,2025-08-21,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.839118,2025-08-22,True,LONG,BULLISH,45676.1,,,45673.4,45613.4,45793.4,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:58.877913,2025-08-24,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.920012,2025-08-25,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:58.957983,2025-08-26,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.019457,2025-08-27,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.088939,2025-08-28,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.146058,2025-08-29,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.191131,2025-08-31,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.233118,2025-09-01,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.275197,2025-09-02,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.317048,2025-09-03,True,LONG,BULLISH,45077.9,,,45092.8,45008.7,45261.0,84.1,168.2,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:59.357586,2025-09-04,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.404837,2025-09-05,True,LONG,BULLISH,45329.7,,,45409.5,45337.9,45552.7,71.6,143.2,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:59.435262,2025-09-07,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.477851,2025-09-08,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.522975,2025-09-09,True,SHORT,BEARISH,45735.1,,,45756.2,45816.2,45636.2,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:59.566753,2025-09-10,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.607036,2025-09-11,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.650304,2025-09-12,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.683241,2025-09-14,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.725659,2025-09-15,True,SHORT,BEARISH,45926.3,,,45895.7,45955.7,45775.7,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:59.768950,2025-09-16,True,SHORT,BEARISH,45837.2,,,45777.8,45837.8,45657.8,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:59.811960,2025-09-17,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.850818,2025-09-18,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.893180,2025-09-19,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.923445,2025-09-21,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.959118,2025-09-22,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:59.998569,2025-09-23,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.043187,2025-09-24,True,LONG,BULLISH,46190.0,,,46192.8,46132.8,46312.8,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:30:00.086923,2025-09-25,True,LONG,BULLISH,45926.9,,,45994.0,45934.0,46114.0,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:30:00.129892,2025-09-26,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.183375,2025-09-28,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.252118,2025-09-29,True,SHORT,BEARISH,46280.4,,,46310.8,46370.8,46190.8,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:30:00.307933,2025-09-30,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.357304,2025-10-01,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.404376,2025-10-02,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.448931,2025-10-03,True,LONG,BULLISH,46863.0,,,46895.4,46821.8,47042.6,73.6,147.2,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:30:00.481914,2025-10-05,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.523239,2025-10-06,True,SHORT,BEARISH,46761.1,,,46721.7,46781.7,46601.7,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:30:00.559519,2025-10-07,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.598291,2025-10-08,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.641181,2025-10-09,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.684796,2025-10-10,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.718041,2025-10-12,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.769156,2025-10-13,True,LONG,BULLISH,46077.4,,,46165.6,46105.6,46285.6,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:30:00.811710,2025-10-14,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.852078,2025-10-15,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.892032,2025-10-16,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.934957,2025-10-17,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.964411,2025-10-19,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:00.998554,2025-10-20,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:01.088591,2025-10-21,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:01.135622,2025-10-22,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:01.177278,2025-10-23,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:01.212970,2025-10-24,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:01.242675,2025-10-26,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:01.282306,2025-10-27,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:01.322636,2025-10-28,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:01.358442,2025-10-29,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:01.397174,2025-10-30,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:01.437689,2025-10-31,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:30:01.465390,2025-11-02,False,,,,,,,,,,,,,,No valid signal from strategy
